Data,csv,xls,xlsx,ba,nmdat,sas7bdat,fit,txt
Model,pkml,mbp3,pksim5
Script,r,m,sas
Configuration,cfg,
Document,doc,docx,pdf,pptx,ppt
Figure,png,jpg,
Table,
Listing,
Other,
